Question,Generated SQL,Executed Successfully,Retry Needed,Row Count,Final Status,Message
List all products,SELECT * FROM products ;,True,False,110,Success,Success
Get all customers,SELECT * FROM customers ;,True,False,122,Success,Success
Show all orders,SELECT * FROM orders ;,True,False,326,Success,Success
List all employees,SELECT * FROM employees ;,True,False,23,Success,Success
Get all offices,SELECT * FROM offices ;,True,False,7,Success,Success
Show all product lines,SELECT * FROM productlines ;,True,False,7,Success,Success
List all payments,SELECT * FROM payments ;,True,False,273,Success,Success
Get product names and prices,"SELECT ""productName"", ""buyPrice"" FROM products ;",True,False,110,Success,Success
Get customer names and cities,"SELECT ""customerName"", city FROM customers ;",True,False,122,Success,Success
List employee first and last names,"SELECT ""firstName"", ""lastName"" FROM employees ;",True,False,23,Success,Success
Get all order dates,"SELECT ""orderDate"" FROM orders ;",True,False,326,Success,Success
Show product vendor list,"SELECT ""productVendor"" FROM products ;",True,False,110,Success,Success
Get all product codes,"SELECT ""productCode"" FROM products ;",True,False,110,Success,Success
List all countries from offices,SELECT country FROM offices ;,True,False,7,Success,Success
Show all order statuses,SELECT status FROM orders ;,True,False,326,Success,Success
Get all payment amounts,SELECT amount FROM payments ;,True,False,273,Success,Success
List all job titles,"SELECT ""jobTitle"" FROM employees ;",True,False,23,Success,Success
Get customer phone numbers,SELECT phone FROM customers ;,True,False,122,Success,Success
Show product MSRP values,"SELECT ""MSRP"" FROM products ;",True,False,110,Success,Success
List order numbers,"SELECT ""orderNumber"" FROM orders ;",True,False,326,Success,Success
Get orders with customer names,"SELECT o.""orderNumber"", c.""customerName"" FROM orders o JOIN customers c ON o.""customerNumber"" = c.""customerNumber"" ;",True,False,326,Success,Success
Get employees with office city,"SELECT e.""firstName"", e.""lastName"", of.""city"" FROM employees e JOIN offices of ON e.""officeCode"" = of.""officeCode"" ;",True,False,23,Success,Success
Get payments with customer names,"SELECT pm.""checkNumber"", pm.amount, c.""customerName"" FROM payments pm JOIN customers c ON pm.""customerNumber"" = c.""customerNumber"" ;",True,False,273,Success,Success
Get order details with product names,"SELECT od.""orderNumber"", p.""productName"", od.""quantityOrdered"" FROM orderdetails od JOIN products p ON od.""productCode"" = p.""productCode"" ;",True,False,2996,Success,Success
Get products with product line description,"SELECT p.""productName"", pl.""textDescription"" FROM products p JOIN productlines pl ON p.""productLine"" = pl.""productLine"" ;",True,False,110,Success,Success
Get customers with sales rep names,"SELECT c.""customerName"", e.""firstName"", e.""lastName"" FROM customers c JOIN employees e ON c.""salesRepEmployeeNumber"" = e.""employeeNumber"" ;",True,False,100,Success,Success
Get orders with customer city,"SELECT o.""orderNumber"", c.city FROM orders o JOIN customers c ON o.""customerNumber"" = c.""customerNumber"" ;",True,False,326,Success,Success
Get employees and their manager,"SELECT e.""firstName"", e.""lastName"", m.""firstName"" AS ""managerFirstName"", m.""lastName"" AS ""managerLastName"" FROM employees e JOIN employees m ON e.""reportsTo"" = m.""employeeNumber"" ;",True,False,22,Success,Success
